trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-136.32531766030735,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-36.839962742210254,"{0: 26, 1: 4, 2: 5, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-95.86061939476096,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,15,6.928583792878636,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-54.924032662153486,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-79.2022280605226,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-97.26546758890173,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,-101.33539469631816,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': -0.10000000000000032}",20,3,-77.66220817298358,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-35.51318556446001,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-127.68314247027537,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-77.21563193941837,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-148.87454952174107,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': -0.3500000000000003}",25,0,-218.47244500367873,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
